date,city,neighborhood,address,rooms,sqm,floor,year_built,price
2026-05-15,חיפה,נווה שאנן,רחוב לדוגמה 79,3.5,75,1,1994,1238000.0
2025-05-03,חיפה,נווה שאנן,רחוב לדוגמה 50,3.5,75,7,1990,1095000.0
2025-10-25,חיפה,נווה שאנן,רחוב לדוגמה 1,3,70,1,2014,1028000.0
2025-04-22,חיפה,נווה שאנן,רחוב לדוגמה 90,3.5,75,8,1994,926000.0
2026-05-11,חיפה,נווה שאנן,רחוב לדוגמה 16,3.5,75,7,1973,1215000.0
2024-08-17,חיפה,כרמל מרכזי,רחוב לדוגמה 57,4,90,8,1992,1958000.0
2024-12-17,חיפה,כרמל מרכזי,רחוב לדוגמה 96,5,115,7,1993,2508000.0
2025-10-09,חיפה,כרמל מרכזי,רחוב לדוגמה 36,3.5,75,8,1996,1675000.0
2024-09-28,חיפה,כרמל מרכזי,רחוב לדוגמה 10,3.5,75,4,1980,1348000.0
2025-09-26,חיפה,כרמל מרכזי,רחוב לדוגמה 70,4,90,1,1973,1723000.0
2026-01-28,חיפה,כרמל מרכזי,רחוב לדוגמה 20,3.5,75,3,1969,1489000.0
2025-05-03,חיפה,כרמל מרכזי,רחוב לדוגמה 60,4.5,100,6,1968,1884000.0
2025-12-02,חיפה,כרמל מרכזי,רחוב לדוגמה 99,4.5,100,0,2013,1974000.0
2024-11-19,חיפה,כרמל מרכזי,רחוב לדוגמה 46,4.5,100,4,2013,1928000.0
2025-05-28,חיפה,כרמל מרכזי,רחוב לדוגמה 95,4.5,100,8,2003,2014000.0
2025-11-18,חיפה,כרמל מרכזי,רחוב לדוגמה 56,5,115,7,1966,2146000.0
2025-05-29,חיפה,כרמל מרכזי,רחוב לדוגמה 52,4,90,2,1994,1883000.0
2026-02-21,חיפה,כרמל מרכזי,רחוב לדוגמה 76,2.5,55,0,1970,1274000.0
2024-09-11,חיפה,כרמל מרכזי,רחוב לדוגמה 60,4.5,100,2,1968,1713000.0
2025-10-08,חיפה,כרמל מרכזי,רחוב לדוגמה 59,4.5,100,5,1986,1922000.0
2025-06-08,חיפה,כרמל מרכזי,רחוב לדוגמה 54,4,82,4,1970,1759000.0
2025-03-07,חיפה,כרמל מרכזי,רחוב לדוגמה 7,2.5,55,5,1979,1164000.0
2024-09-04,חיפה,כרמל מרכזי,רחוב לדוגמה 84,3,62,0,2013,1292000.0
2026-05-31,חיפה,כרמל מרכזי,רחוב לדוגמה 3,3.5,75,2,1980,1427000.0
2026-02-22,חיפה,כרמל מרכזי,רחוב לדוגמה 73,5,115,3,1994,2494000.0
2024-07-15,חיפה,כרמל מרכזי,רחוב לדוגמה 22,4,82,1,2014,1690000.0
2026-01-15,חיפה,כרמל מרכזי,רחוב לדוגמה 4,4,82,4,2001,1486000.0
2024-08-07,חיפה,כרמל מרכזי,רחוב לדוגמה 92,4.5,100,3,1969,1855000.0
2024-11-02,חיפה,כרמל מרכזי,רחוב לדוגמה 99,3.5,75,4,2008,1279000.0
2024-10-25,חיפה,כרמל מרכזי,רחוב לדוגמה 73,3,62,0,1987,1306000.0
2025-01-02,חיפה,כרמל מרכזי,רחוב לדוגמה 9,4.5,100,8,2006,2047000.0
2025-07-17,חיפה,כרמל מרכזי,רחוב לדוגמה 63,2.5,55,1,1992,1218000.0
2025-06-26,חיפה,כרמל מרכזי,רחוב לדוגמה 56,5,115,2,2011,2441000.0
2025-01-13,חיפה,כרמל מרכזי,רחוב לדוגמה 69,4,82,7,1994,1659000.0
2025-04-11,חיפה,כרמל מרכזי,רחוב לדוגמה 32,4,82,1,1982,1536000.0
2025-03-27,חיפה,כרמל מרכזי,רחוב לדוגמה 73,3.5,75,6,1986,1592000.0
2026-06-02,חיפה,כרמל מרכזי,רחוב לדוגמה 24,5,115,7,1978,2659000.0
2025-07-03,חיפה,כרמל מרכזי,רחוב לדוגמה 77,4,82,4,2000,1562000.0
2026-06-21,חיפה,כרמל מרכזי,רחוב לדוגמה 93,3.5,75,6,1996,1377000.0
2024-12-10,חיפה,כרמל מרכזי,רחוב לדוגמה 83,3.5,75,7,1993,1543000.0
2026-06-14,חיפה,כרמל מרכזי,רחוב לדוגמה 52,3,62,3,1984,1219000.0
2024-08-21,חיפה,כרמל מרכזי,רחוב לדוגמה 68,4,90,5,1992,1712000.0
2024-12-15,חיפה,כרמל מרכזי,רחוב לדוגמה 59,4,90,4,1984,1675000.0
2025-10-17,חיפה,כרמל מרכזי,רחוב לדוגמה 25,3.5,75,5,1972,1349000.0
2024-07-25,חיפה,קרית חיים,רחוב לדוגמה 95,3,70,7,1982,751000.0
2024-11-05,חיפה,קרית חיים,רחוב לדוגמה 25,4,82,4,1979,1125000.0
2025-06-27,חיפה,קרית חיים,רחוב לדוגמה 91,3,70,8,1973,815000.0
2025-09-24,חיפה,קרית חיים,רחוב לדוגמה 71,2.5,55,4,2009,787000.0
2026-02-22,חיפה,קרית חיים,רחוב לדוגמה 2,5,115,4,1995,1294000.0
2025-02-26,חיפה,קרית חיים,רחוב לדוגמה 7,5,115,4,1995,1333000.0
2026-03-07,חיפה,קרית חיים,רחוב לדוגמה 10,3,62,0,1974,770000.0
2026-01-30,חיפה,קרית חיים,רחוב לדוגמה 32,4,82,1,2000,915000.0
2025-05-01,חיפה,קרית חיים,רחוב לדוגמה 49,3.5,75,7,1993,997000.0
2025-08-31,חיפה,קרית חיים,רחוב לדוגמה 80,4.5,100,0,2004,1175000.0
2026-03-22,חיפה,קרית חיים,רחוב לדוגמה 34,3.5,75,1,1975,998000.0
2025-10-29,חיפה,קרית חיים,רחוב לדוגמה 21,3,70,0,1991,894000.0
2025-03-27,חיפה,קרית חיים,רחוב לדוגמה 30,5,115,4,2010,1318000.0
2025-09-15,חיפה,קרית חיים,רחוב לדוגמה 30,5,115,4,2015,1253000.0
2024-09-29,חיפה,קרית חיים,רחוב לדוגמה 70,3.5,75,3,2006,875000.0
2026-01-30,חיפה,קרית חיים,רחוב לדוגמה 10,4,82,0,1975,1147000.0
2025-08-21,חיפה,קרית חיים,רחוב לדוגמה 60,4,82,4,2009,1004000.0
2025-05-15,חיפה,קרית חיים,רחוב לדוגמה 64,4,82,7,1970,1009000.0
2024-10-27,חיפה,קרית חיים,רחוב לדוגמה 95,2.5,55,5,2003,736000.0
2025-10-18,חיפה,קרית חיים,רחוב לדוגמה 87,2.5,55,0,2013,606000.0
2024-08-12,חיפה,קרית חיים,רחוב לדוגמה 98,4,82,2,1995,995000.0
2025-01-16,חיפה,קרית חיים,רחוב לדוגמה 24,5,115,6,2005,1566000.0
2025-02-13,חיפה,קרית חיים,רחוב לדוגמה 53,3,62,5,1985,747000.0
2024-08-14,חיפה,קרית חיים,רחוב לדוגמה 43,3,62,6,2009,814000.0
2025-02-09,חיפה,קרית חיים,רחוב לדוגמה 52,4,82,8,1967,1045000.0
2025-03-23,חיפה,קרית חיים,רחוב לדוגמה 42,3,62,1,2014,715000.0
2025-05-14,חיפה,קרית חיים,רחוב לדוגמה 70,2.5,55,7,1991,709000.0
2026-05-07,חיפה,קרית חיים,רחוב לדוגמה 80,3.5,75,7,2005,973000.0
2025-04-05,חיפה,קרית חיים,רחוב לדוגמה 71,2.5,55,2,1983,613000.0
2025-04-09,חיפה,קרית חיים,רחוב לדוגמה 81,5,115,3,2010,1248000.0
2026-01-20,חיפה,קרית חיים,רחוב לדוגמה 71,4,82,6,1970,1059000.0
2025-11-13,חיפה,קרית חיים,רחוב לדוגמה 16,3,62,2,1996,773000.0
2025-09-06,חיפה,קרית חיים,רחוב לדוגמה 62,4,82,7,1980,998000.0
2025-03-21,חיפה,קרית חיים,רחוב לדוגמה 77,3,70,8,2012,825000.0
2026-02-12,חיפה,קרית חיים,רחוב לדוגמה 54,3,62,5,2015,738000.0
2025-01-28,חיפה,קרית חיים,רחוב לדוגמה 37,4,82,4,2002,1090000.0
2024-11-15,חיפה,קרית חיים,רחוב לדוגמה 58,5,115,8,1995,1532000.0
2025-07-13,חיפה,קרית חיים,רחוב לדוגמה 70,4,90,6,1994,1133000.0
2025-08-06,חיפה,קרית חיים,רחוב לדוגמה 31,3.5,75,6,1979,1068000.0
2025-05-07,חיפה,קרית חיים,רחוב לדוגמה 61,2.5,55,6,1989,639000.0
2024-08-21,חיפה,קרית חיים,רחוב לדוגמה 5,3,70,2,1997,830000.0
2024-11-04,חיפה,קרית חיים,רחוב לדוגמה 57,4,90,1,1998,1199000.0
2026-06-16,באר שבע,שכונה ד,רחוב לדוגמה 84,3,70,2,1969,713000.0
2025-03-08,באר שבע,שכונה ד,רחוב לדוגמה 89,4,82,6,2006,750000.0
2026-04-10,באר שבע,שכונה ד,רחוב לדוגמה 69,4,90,6,1985,1029000.0
2024-09-28,באר שבע,שכונה ד,רחוב לדוגמה 5,5,115,1,1980,1192000.0
2024-09-23,באר שבע,שכונה ד,רחוב לדוגמה 96,4,82,1,1992,878000.0
2026-03-23,באר שבע,שכונה ד,רחוב לדוגמה 89,3,62,4,1966,628000.0
2026-05-15,באר שבע,שכונה ד,רחוב לדוגמה 38,4,90,5,1988,1020000.0
2025-04-16,באר שבע,שכונה ד,רחוב לדוגמה 53,3,70,2,1975,625000.0
2026-01-03,באר שבע,שכונה ד,רחוב לדוגמה 49,3,62,3,1996,650000.0
2024-11-11,באר שבע,שכונה ד,רחוב לדוגמה 82,3,70,4,1994,605000.0
2025-10-13,באר שבע,שכונה ד,רחוב לדוגמה 60,2.5,55,4,2008,616000.0
2024-12-19,באר שבע,שכונה ד,רחוב לדוגמה 45,3,70,4,2005,578000.0
2025-04-23,באר שבע,שכונה ד,רחוב לדוגמה 39,4,82,3,1989,784000.0
2025-02-22,באר שבע,שכונה ד,רחוב לדוגמה 74,3,62,5,2001,547000.0
2025-09-02,באר שבע,שכונה ד,רחוב לדוגמה 85,4,82,6,1982,697000.0
2026-06-23,באר שבע,שכונה ד,רחוב לדוגמה 96,2.5,55,7,1983,648000.0
2025-11-08,באר שבע,שכונה ד,רחוב לדוגמה 25,4,90,4,2008,828000.0
2024-08-25,באר שבע,שכונה ד,רחוב לדוגמה 81,3,70,0,1984,674000.0
2025-04-06,באר שבע,שכונה ד,רחוב לדוגמה 94,2.5,55,2,1970,544000.0
2025-09-02,באר שבע,שכונה ד,רחוב לדוגמה 23,4,90,3,1973,960000.0
2024-12-26,באר שבע,שכונה ד,רחוב לדוגמה 35,4,90,2,1981,861000.0
2025-02-23,באר שבע,שכונה ד,רחוב לדוגמה 44,4,82,1,1994,844000.0
2026-04-15,באר שבע,שכונה ד,רחוב לדוגמה 29,3,70,6,2000,780000.0
2025-06-22,באר שבע,שכונה ד,רחוב לדוגמה 2,3,62,4,1999,660000.0
2026-02-25,באר שבע,שכונה ד,רחוב לדוגמה 96,5,115,4,2002,1133000.0
2025-06-06,באר שבע,שכונה ד,רחוב לדוגמה 30,4,90,7,1966,776000.0
2024-10-05,באר שבע,שכונה ד,רחוב לדוגמה 29,4,90,1,2005,945000.0
2025-03-13,באר שבע,שכונה ד,רחוב לדוגמה 15,4,82,2,1967,824000.0
2026-05-24,באר שבע,שכונה ד,רחוב לדוגמה 15,4,82,1,1980,982000.0
2024-12-28,באר שבע,שכונה ד,רחוב לדוגמה 48,3,70,8,1991,642000.0
2024-11-07,באר שבע,שכונה ד,רחוב לדוגמה 84,3,70,1,1996,734000.0
2024-10-09,באר שבע,שכונה ד,רחוב לדוגמה 36,4.5,100,0,2009,1057000.0
2025-06-17,באר שבע,שכונה ד,רחוב לדוגמה 31,3.5,75,5,1971,722000.0
2024-07-29,באר שבע,שכונה ד,רחוב לדוגמה 83,4,90,5,1968,841000.0
2025-05-20,באר שבע,שכונה ד,רחוב לדוגמה 16,4,82,7,1970,724000.0
2024-08-22,באר שבע,שכונה ד,רחוב לדוגמה 77,3.5,75,0,1968,724000.0
2025-07-25,באר שבע,שכונה ד,רחוב לדוגמה 73,3.5,75,3,1969,848000.0
2024-12-11,באר שבע,שכונה ד,רחוב לדוגמה 30,3.5,75,5,2014,727000.0
2026-01-31,באר שבע,שכונה ד,רחוב לדוגמה 19,2.5,55,2,1999,524000.0
2026-01-04,באר שבע,רמות,רחוב לדוגמה 4,3,62,2,1965,880000.0
2025-06-30,באר שבע,רמות,רחוב לדוגמה 3,3.5,75,2,1981,1007000.0
2026-05-09,באר שבע,רמות,רחוב לדוגמה 68,3,70,1,2012,1041000.0
2026-04-27,באר שבע,רמות,רחוב לדוגמה 47,5,115,8,2002,1566000.0
2026-03-12,באר שבע,רמות,רחוב לדוגמה 79,5,115,0,2011,1579000.0
2024-08-26,באר שבע,רמות,רחוב לדוגמה 4,4,82,0,1995,1000000.0
2025-05-16,באר שבע,רמות,רחוב לדוגמה 63,4.5,100,7,1969,1370000.0
2026-04-10,באר שבע,רמות,רחוב לדוגמה 9,4,90,2,1982,1281000.0
2024-09-30,באר שבע,רמות,רחוב לדוגמה 77,4,90,8,1983,1079000.0
2025-03-24,באר שבע,רמות,רחוב לדוגמה 90,4.5,100,1,2006,1130000.0
2024-09-03,באר שבע,רמות,רחוב לדוגמה 30,3.5,75,6,1986,909000.0
2025-03-24,באר שבע,רמות,רחוב לדוגמה 13,4.5,100,5,1992,1252000.0
2025-08-15,באר שבע,רמות,רחוב לדוגמה 20,4,82,7,1969,1041000.0
2026-03-30,באר שבע,רמות,רחוב לדוגמה 13,3,62,5,1973,749000.0
2024-12-09,באר שבע,רמות,רחוב לדוגמה 72,2.5,55,8,1986,711000.0
2024-08-14,באר שבע,רמות,רחוב לדוגמה 86,3,62,6,2011,744000.0
2026-05-10,באר שבע,רמות,רחוב לדוגמה 46,4,82,1,2001,1171000.0
2025-01-28,באר שבע,רמות,רחוב לדוגמה 62,3.5,75,3,1971,855000.0
2025-07-08,באר שבע,רמות,רחוב לדוגמה 36,4,90,3,1992,1043000.0
2024-12-04,באר שבע,רמות,רחוב לדוגמה 85,2.5,55,4,1966,715000.0
2025-12-29,באר שבע,רמות,רחוב לדוגמה 40,4,82,5,1987,1177000.0
2026-06-25,באר שבע,רמות,רחוב לדוגמה 73,3,70,6,1969,1088000.0
2026-02-06,באר שבע,רמות,רחוב לדוגמה 68,2.5,55,3,1989,658000.0
2025-04-28,באר שבע,רמות,רחוב לדוגמה 48,5,115,4,2011,1416000.0
2025-08-03,באר שבע,רמות,רחוב לדוגמה 20,3,62,2,2013,910000.0
2024-10-07,באר שבע,רמות,רחוב לדוגמה 35,2.5,55,7,2007,721000.0
2025-04-23,באר שבע,רמות,רחוב לדוגמה 54,5,115,4,1978,1533000.0
2025-01-23,באר שבע,רמות,רחוב לדוגמה 15,3,62,4,2008,751000.0
2024-08-06,באר שבע,רמות,רחוב לדוגמה 40,5,115,0,1979,1427000.0
2025-05-23,באר שבע,רמות,רחוב לדוגמה 39,2.5,55,3,2014,609000.0
2026-02-11,באר שבע,רמות,רחוב לדוגמה 16,4,82,0,1996,1048000.0
2025-04-17,באר שבע,רמות,רחוב לדוגמה 69,3,70,3,1997,803000.0
2024-12-06,באר שבע,רמות,רחוב לדוגמה 95,4,90,0,1992,988000.0
2025-03-18,באר שבע,נווה זאב,רחוב לדוגמה 74,3,62,6,2001,756000.0
2025-05-13,באר שבע,נווה זאב,רחוב לדוגמה 52,4.5,100,0,1985,1041000.0
2026-01-07,באר שבע,נווה זאב,רחוב לדוגמה 47,5,115,1,1992,1469000.0
2026-03-15,באר שבע,נווה זאב,רחוב לדוגמה 52,3.5,75,8,1970,865000.0
2025-05-22,באר שבע,נווה זאב,רחוב לדוגמה 29,4,82,5,2014,980000.0
2026-01-10,באר שבע,נווה זאב,רחוב לדוגמה 15,3,62,8,1997,723000.0
2025-12-15,באר שבע,נווה זאב,רחוב לדוגמה 83,4,90,2,1980,995000.0
2026-03-18,באר שבע,נווה זאב,רחוב לדוגמה 23,3,70,2,2013,763000.0
2024-08-29,באר שבע,נווה זאב,רחוב לדוגמה 99,3,62,7,1994,593000.0
2024-12-01,באר שבע,נווה זאב,רחוב לדוגמה 73,5,115,5,2005,1307000.0
2025-08-12,באר שבע,נווה זאב,רחוב לדוגמה 61,3,70,7,2005,777000.0
2025-08-25,באר שבע,נווה זאב,רחוב לדוגמה 46,4,82,8,1969,955000.0
2025-08-18,באר שבע,נווה זאב,רחוב לדוגמה 8,5,115,5,1983,1282000.0
2026-04-14,באר שבע,נווה זאב,רחוב לדוגמה 65,3,62,6,1994,759000.0
2024-11-14,באר שבע,נווה זאב,רחוב לדוגמה 74,2.5,55,3,1985,582000.0
2024-10-20,באר שבע,נווה זאב,רחוב לדוגמה 8,5,115,7,1971,1231000.0
2025-07-15,באר שבע,נווה זאב,רחוב לדוגמה 23,3,62,0,1980,698000.0
2024-07-07,באר שבע,נווה זאב,רחוב לדוגמה 68,5,115,8,2004,1384000.0
2026-01-20,באר שבע,נווה זאב,רחוב לדוגמה 37,4,90,6,1991,1008000.0
2025-07-20,באר שבע,נווה זאב,רחוב לדוגמה 83,2.5,55,5,1969,673000.0
2025-07-29,באר שבע,נווה זאב,רחוב לדוגמה 50,3,62,4,1981,711000.0
2024-08-28,באר שבע,נווה זאב,רחוב לדוגמה 75,3,70,2,1987,705000.0
2025-08-18,באר שבע,נווה זאב,רחוב לדוגמה 91,4.5,100,1,1984,1006000.0
2024-12-06,באר שבע,נווה זאב,רחוב לדוגמה 43,4.5,100,2,2007,1126000.0
2024-07-12,באר שבע,נווה זאב,רחוב לדוגמה 55,3,62,8,1988,680000.0
2025-06-25,נתניה,מרכז העיר,רחוב לדוגמה 28,4,82,5,2014,1188000.0
2025-02-19,נתניה,מרכז העיר,רחוב לדוגמה 18,3.5,75,2,1969,1081000.0
2025-09-02,נתניה,מרכז העיר,רחוב לדוגמה 70,3,62,8,1967,1007000.0
2024-08-23,נתניה,מרכז העיר,רחוב לדוגמה 80,4,90,2,2003,1528000.0
2025-06-11,נתניה,מרכז העיר,רחוב לדוגמה 89,3,70,2,2011,1006000.0
2025-04-09,נתניה,מרכז העיר,רחוב לדוגמה 87,2.5,55,3,1993,847000.0
2024-10-14,נתניה,מרכז העיר,רחוב לדוגמה 58,4,82,3,1999,1357000.0
2025-10-30,נתניה,מרכז העיר,רחוב לדוגמה 61,4,82,3,1988,1528000.0
2024-08-06,נתניה,מרכז העיר,רחוב לדוגמה 37,5,115,6,1997,1730000.0
2025-01-07,נתניה,מרכז העיר,רחוב לדוגמה 26,4.5,100,2,1981,1778000.0
2026-05-09,נתניה,מרכז העיר,רחוב לדוגמה 71,5,115,1,2010,2156000.0
2025-01-19,נתניה,מרכז העיר,רחוב לדוגמה 98,3,62,2,1982,906000.0
2025-03-28,נתניה,מרכז העיר,רחוב לדוגמה 12,3,70,3,1993,1216000.0
2025-07-09,נתניה,מרכז העיר,רחוב לדוגמה 51,2.5,55,8,1988,861000.0
2025-11-02,נתניה,מרכז העיר,רחוב לדוגמה 48,4.5,100,3,1966,1879000.0
2025-08-09,נתניה,מרכז העיר,רחוב לדוגמה 84,3,62,5,2015,1102000.0
2026-02-02,נתניה,מרכז העיר,רחוב לדוגמה 61,3,70,2,2013,1001000.0
2024-07-09,נתניה,מרכז העיר,רחוב לדוגמה 1,5,115,1,1966,1715000.0
2025-10-12,נתניה,מרכז העיר,רחוב לדוגמה 71,3.5,75,8,1992,1346000.0
2026-03-10,נתניה,מרכז העיר,רחוב לדוגמה 16,4,82,0,1980,1261000.0
2025-04-28,נתניה,מרכז העיר,רחוב לדוגמה 64,5,115,8,1966,1586000.0
2024-09-22,נתניה,מרכז העיר,רחוב לדוגמה 38,3.5,75,6,1965,1225000.0
2024-10-10,נתניה,מרכז העיר,רחוב לדוגמה 54,4,90,2,2007,1276000.0
2024-08-16,נתניה,מרכז העיר,רחוב לדוגמה 47,3,62,1,1998,952000.0
2024-12-21,נתניה,מרכז העיר,רחוב לדוגמה 61,2.5,55,0,2005,827000.0
2025-06-14,נתניה,קרית השרון,רחוב לדוגמה 46,4,82,1,1987,1740000.0
2025-10-28,נתניה,קרית השרון,רחוב לדוגמה 95,3,62,5,1973,1354000.0
2026-05-17,נתניה,קרית השרון,רחוב לדוגמה 83,4,90,2,2014,1902000.0
